SYMPTOM,DISEASES
Swollen Lymph Nodes,"['Psoriasis', 'Sarcoidosis']"
Gum Disease,['Scurvy']
Bruising,['Scurvy']
Anemia Due to Vitamin C Deficiency,['Scurvy']
New or Changing Mole,['Skin Cancer (Melanoma)']
Asymmetry in Moles,['Skin Cancer (Melanoma)']
Irregular Borders,['Skin Cancer (Melanoma)']
Varied Colors in a Mole,['Skin Cancer (Melanoma)']
Painless Sore (Chancre),['Syphilis']
Skin Rashes,"['Syphilis', 'Skin Cancer (Melanoma)']"
Mucous Membrane Lesions,['Syphilis']
Late-Stage Symptoms Affecting Organs like the Heart and Brain,['Syphilis']
Muscle Stiffness,['Tetanus']
Jaw Locking (Trismus),['Tetanus']
Difficulty Swallowing,"['Tetanus', 'Myasthenia Gravis']"
Muscle Spasms,['Tetanus']
Weak Bones,['Osteoporosis']
Severe Pain in the Side or Back,['Kidney Stones']
Blood in Urine,"['Kidney Stones', 'Urinary Tract Infection (UTI)']"
Chest Pain,"['Heart Attack', 'Pneumonia']"
Coughing Up Blood,['Pneumonia']
Chills,"['Tuberculosis (TB)', 'Malaria']"
