disease,dietary_recommendations,medicine
Gastroenteritis,"['Focus on hydration and electrolyte balance with oral rehydration solutions.', 'Eat a bland, easily digestible diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats as symptoms improve.']","['Oral Rehydration Salts (ORS)', 'Loperamide (for non-bacterial cases)']"
Gaucher Disease,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Ensure adequate intake of specific nutrients and follow any dietary guidelines provided by a healthcare professional.']","['Imiglucerase', 'Eliglustat']"
Gonorrhea,"['Follow a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats to support overall health and immune function.', 'Increase fluid intake to support hydration and recovery.']","['Ceftriaxone', 'Azithromycin']"
Gout,"['Limit purine-rich foods (e.g., red meats, shellfish) and focus on a low-purine diet.', 'Maintain a balanced intake of 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Increase fluid intake to help flush uric acid from the body.']","['Allopurinol', 'Colchicine']"
Hemochromatosis,"['Limit dietary iron intake and avoid vitamin C supplements that enhance iron absorption.', 'Consume a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Focus on low-iron foods and consult with a healthcare provider for specific dietary adjustments.']",[' Deferoxamine']
Hepatitis A,"['Follow a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats to support liver health.', 'Increase fluid intake and avoid alcohol and high-fat foods to reduce liver stress.']",['No specific antiviral']
Hepatitis B,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Avoid alcohol and foods high in fats, and focus on liver-friendly foods like fruits, vegetables, and lean proteins.']","['Tenofovir', 'Entecavir']"
Hepatitis C,"['Follow a diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Avoid alcohol and limit saturated fats; include liver-supportive foods and adequate hydration.']","['Sofosbuvir', 'Ribavirin']"
Hyperparathyroidism,"['Maintain a diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Limit high-calcium foods and focus on a balanced intake of other nutrients, following specific recommendations from a healthcare provider.']",['Cinacalcet']
Hypertension,"['Follow a low-sodium diet, aiming for less than 2,300 mg of sodium per day.', 'Maintain a balanced intake of 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Increase potassium intake (3,500-4,700 mg/day) from fruits and vegetables.']","['Lisinopril', 'Amlodipine']"
Hyperthyroidism,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Include adequate calories to prevent weight loss and focus on foods that support overall health.']","['Methimazole', 'Propylthiouracil']"
Hypothyroidism,"['Follow a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Avoid excessive soy products and high-fiber foods.']",['Levothyroxine']
Influenza,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Increase fluid intake and consume foods rich in vitamins and minerals to support immune function.']","['Oseltamivir', 'Zanamivir']"
Kidney Stones,"['Low-oxalate, low-sodium diet; increase fluid intake.', 'Limit sodium to <2300 mg/day; reduce protein to 0.8-1 g per kg of body weight.']","['Potassium Citrate', 'Tamsulosin']"
Lung Cancer,"['High-calorie, high-protein diet to maintain weight.', '1.5-2 g of protein per kg of body weight; include nutrient-dense, easily digestible foods.']","['Cisplatin', 'Paclitaxel']"
Malaria,"['High-calorie diet to combat weight loss; focus on hydration.', 'Balanced macronutrient intake; emphasize iron-rich foods if anemia is present.']","['Artemether-Lumefantrine', 'Chloroquine']"
Marfan Syndrome,"['Balanced diet with adequate calories to support cardiovascular health.', 'Ensure a diet rich in omega-3 fatty acids, vitamins C and E; limit sodium and saturated fats.']","[' Beta-Blockers (e.g., Atenolol)']"
Measles,"['High-calorie, high-protein diet to support recovery.', 'Emphasize vitamin A-rich foods; balanced intake of carbohydrates, proteins, and fats.']","['No specific antiviral', 'Supportive care with Vitamin A']"
Meniere's Disease,"['Low-sodium diet to reduce fluid retention.', 'Limit sodium to <1500 mg/day; stay well-hydrated with water and avoid caffeine.']","['Betahistine', 'Diuretics ']"
Migraine,"['Avoid trigger foods (e.g., aged cheese, chocolate, alcohol).', 'Regular meals with balanced macronutrients; include magnesium-rich foods (e.g., nuts, leafy greens).']","['Sumatriptan', 'Propranolol']"
Multiple Sclerosis (MS),"['Anti-inflammatory diet rich in fruits, vegetables, and omega-3 fatty acids.', 'Ensure adequate vitamin D and B12 intake; moderate protein with lean sources.']","['Interferon Beta', 'Glatiramer Acetate']"
Myasthenia Gravis,"['Balanced diet to maintain energy; avoid foods that may cause choking or fatigue.', 'Small, frequent meals with easily chewable foods; moderate protein intake.']","['Pyridostigmine', 'Prednisone']"
Myocardial Infarction (Heart Attack),"['Heart-healthy diet low in saturated fats and cholesterol.', 'Focus on whole grains, fruits, vegetables, and lean proteins; limit sodium to <2000 mg/day.']","['Aspirin', 'Clopidogrel']"
Osteoporosis,"['Calcium and vitamin D-rich diet to support bone health.', '1000-1200 mg of calcium/day; include weight-bearing exercises and avoid excessive protein.']","['Alendronate', 'Calcium/Vitamin D supplements']"
Phenylketonuria (PKU),"['Low-phenylalanine diet to prevent buildup of harmful substances.', 'Special low-protein products and formula; avoid high-protein foods like meat, dairy, and nuts.']",['Sapropterin ']
Pheochromocytoma,"['Avoid tyramine-rich foods (e.g., aged cheese, cured meats) to prevent hypertensive episodes.', 'Focus on a balanced diet with fresh, unprocessed foods; moderate protein and carbohydrate intake.']","['Phenoxybenzamine', 'Propranolol']"
Pneumonia,"['High-calorie, high-protein diet to support recovery.', 'Emphasize hydration and nutrient-dense foods; small, frequent meals if appetite is low.']","['Azithromycin', 'Levofloxacin']"
Pompe Disease,"['High-protein, low-carbohydrate diet to manage muscle weakness.', 'Focus on lean proteins, low-glycemic index carbohydrates; small, frequent meals.']",['Alglucosidase Alfa']
Porphyria,"['High-carbohydrate diet to prevent acute attacks.', 'Ensure 60-70% of total calories from carbohydrates; avoid fasting and extreme low-carb diets.']",['Hemin']
Psoriasis,"['Anti-inflammatory diet rich in omega-3 fatty acids and antioxidants.', 'Emphasize fruits, vegetables, whole grains; avoid excessive alcohol and processed foods.']","['Methotrexate', 'Topical Corticosteroids']"
Rubella,"['Balanced diet with adequate calories to support immune function.', 'Focus on nutrient-rich foods, including fruits, vegetables, and lean proteins; stay well-hydrated.']",['No specific antiviral']
Sarcoidosis,"['Anti-inflammatory diet rich in fruits, vegetables, and whole grains.', 'Limit foods high in calcium and vitamin D if hypercalcemia is present; moderate protein intake.']","['Prednisone', 'Methotrexate']"
Scurvy,"['Vitamin C-rich diet to reverse deficiency.', 'Include citrus fruits, tomatoes, and leafy greens; aim for at least 75-90 mg of vitamin C daily.']",['Vitamin C']
Skin Cancer (Melanoma),"['Balanced diet with an emphasis on antioxidants and omega-3 fatty acids.', 'Include plenty of colorful fruits and vegetables; moderate protein intake from lean sources.']","['Pembrolizumab', 'Dabrafenib']"
Syphilis,"['No specific dietary restrictions; focus on a balanced diet for overall health.', 'Ensure adequate nutrient intake to support immune function and recovery.']",['Penicillin']
Tetanus,"['High-calorie, high-protein diet to support healing.', 'Include nutrient-dense foods with vitamins A and C; maintain adequate hydration.']","['Tetanus Toxoid Vaccine', 'Human Tetanus Immunoglobulin (HTIG)']"
Thalassemia,"['Low-iron diet to prevent iron overload; avoid iron supplements.', 'Focus on folate-rich foods (e.g., leafy greens, legumes); include vitamin C with non-heme iron sources to improve absorption.']","['Deferoxamine ', 'Folic acid']"
Tuberculosis (TB),"['High-calorie, high-protein diet to combat weight loss and muscle wasting.', 'Include complex carbohydrates and healthy fats; aim for 1.2-1.5 g of protein per kg of body weight.']","['Isoniazid', 'Rifampin']"
Tuberous Sclerosis,"['Balanced diet to maintain overall health and manage symptoms.', 'Focus on nutrient-rich foods; include adequate omega-3 fatty acids and limit processed foods.']","['Everolimus', 'Sirolimus']"
Typhoid Fever,"['High-calorie, easily digestible diet; avoid spicy and high-fiber foods.', 'Emphasize hydration; small, frequent meals with a focus on soft, bland foods.']","['Ciprofloxacin', 'Azithromycin']"
Urinary Tract Infection (UTI),"['Increase fluid intake to help flush out bacteria; avoid caffeine and alcohol.', 'Focus on foods that promote urinary tract health, such as cranberries and yogurt.']","['Nitrofurantoin', 'Trimethoprim-Sulfamethoxazole']"
Wilson's Disease,"['Low-copper diet to prevent copper accumulation; avoid shellfish, liver, and nuts.', 'Include zinc supplements to reduce copper absorption; focus on a balanced diet with low-copper foods.']","['Penicillamine', 'Trientine']"
